CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpend,AvgSpend,NumTransactions,LastTransaction,UniqueProducts,NumInteractions,LastInteraction,IssuesUnresolved,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
1,62,M,Single,Low,416.5,416.5,1,2022-03-27,1,1.0,2022-03-31,0.0,2023-10-21,34,Mobile App,0
2,65,M,Married,Low,1547.4199999999998,221.05999999999997,7,2022-11-19,4,1.0,2022-03-17,0.0,2023-12-05,5,Website,1
3,18,M,Single,Low,1702.98,283.83,6,2022-10-08,4,1.0,2022-08-24,0.0,2023-11-15,3,Website,0
4,21,M,Widowed,Low,917.29,183.458,5,2022-12-27,4,2.0,2022-11-18,1.0,2023-08-25,2,Website,0
5,21,M,Divorced,Medium,2001.49,250.18625,8,2022-12-21,3,,,,2023-10-27,41,Website,0
6,57,F,Divorced,Medium,1164.29,232.858,5,2022-10-29,4,1.0,2022-05-05,0.0,2023-09-17,2,Website,0
7,27,F,Married,High,86.73,86.73,1,2022-10-24,1,,,,2023-01-07,32,Mobile App,0
8,37,M,Single,Low,2046.88,292.4114285714286,7,2022-11-09,4,2.0,2022-09-13,2.0,2023-04-22,17,Online Banking,1
9,39,M,Divorced,High,1317.24,263.448,5,2022-10-19,3,1.0,2022-08-15,0.0,2023-06-27,24,Website,0
10,68,M,Married,High,1397.36,199.62285714285713,7,2022-10-31,4,,,,2023-01-13,29,Online Banking,1
11,54,M,Divorced,Medium,1733.83,346.76599999999996,5,2022-12-14,2,2.0,2022-10-28,1.0,2023-01-22,30,Online Banking,0
12,41,F,Married,Low,87.1,87.1,1,2022-11-02,1,2.0,2022-11-29,1.0,2023-12-31,43,Website,0
13,24,F,Divorced,Low,392.02,130.67333333333332,3,2022-09-27,3,1.0,2022-07-27,0.0,2023-07-05,10,Mobile App,0
14,42,M,Widowed,Medium,2843.59,315.95444444444445,9,2022-11-08,4,2.0,2022-07-29,1.0,2023-01-10,26,Online Banking,0
15,42,M,Divorced,Medium,1914.02,239.2525,8,2022-12-16,5,2.0,2022-10-18,2.0,2023-06-15,44,Online Banking,0
16,30,F,Single,Medium,2019.79,224.42111111111112,9,2022-12-14,4,2.0,2022-09-08,0.0,2023-03-15,41,Online Banking,1
17,19,M,Married,Low,1625.27,232.18142857142857,7,2022-11-24,5,2.0,2022-05-11,1.0,2023-09-03,8,Online Banking,0
18,56,F,Married,High,951.3800000000001,190.276,5,2022-08-30,3,1.0,2022-11-08,1.0,2023-11-24,37,Website,1
19,57,F,Divorced,High,1017.26,203.452,5,2022-12-22,3,2.0,2022-11-28,2.0,2023-03-08,39,Online Banking,0
