CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpend,AvgSpend,NumTransactions,LastTransaction,UniqueProducts,NumInteractions,LastInteraction,IssuesUnresolved,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus,ServiceMissing,SpendPerTransaction,SpendPerProduct,InteractionRate,DaysSinceLastTransaction,DaysSinceLastLogin,DaysSinceLastInteraction
1,62,M,Single,Low,416.5,416.5,1,2022-03-27,1,1.0,2022-03-31,0.0,2023-10-21,34,Mobile App,0,0,416.5,416.5,1.0,644,71,640.0
2,65,M,Married,Low,1547.4199999999998,221.06,7,2022-11-19,4,1.0,2022-03-17,0.0,2023-12-05,5,Website,1,0,221.05999999999997,386.85499999999996,0.14285714285714285,407,26,654.0
3,18,M,Single,Low,1702.98,283.83,6,2022-10-08,4,1.0,2022-08-24,0.0,2023-11-15,3,Website,0,0,283.83,425.745,0.16666666666666666,449,46,494.0
4,21,M,Widowed,Low,917.29,183.458,5,2022-12-27,4,2.0,2022-11-18,1.0,2023-08-25,2,Website,0,0,183.458,229.3225,0.4,369,128,408.0
5,21,M,Divorced,Medium,2001.49,250.18625,8,2022-12-21,3,0.0,,0.0,2023-10-27,41,Website,0,1,250.18625,667.1633333333333,0.0,375,65,755.0
6,57,F,Divorced,Medium,1164.29,232.858,5,2022-10-29,4,1.0,2022-05-05,0.0,2023-09-17,2,Website,0,0,232.858,291.0725,0.2,428,105,605.0
7,27,F,Married,High,86.73,86.73,1,2022-10-24,1,0.0,,0.0,2023-01-07,32,Mobile App,0,1,86.73,86.73,0.0,433,358,755.0
8,37,M,Single,Low,2046.88,292.4114285714286,7,2022-11-09,4,2.0,2022-09-13,2.0,2023-04-22,17,Online Banking,1,0,292.4114285714286,511.72,0.2857142857142857,417,253,474.0
9,39,M,Divorced,High,1317.24,263.448,5,2022-10-19,3,1.0,2022-08-15,0.0,2023-06-27,24,Website,0,0,263.448,439.08,0.2,438,187,503.0
10,68,M,Married,High,1397.36,199.6228571428572,7,2022-10-31,4,0.0,,0.0,2023-01-13,29,Online Banking,1,1,199.62285714285713,349.34,0.0,426,352,755.0
11,54,M,Divorced,Medium,1733.83,346.766,5,2022-12-14,2,2.0,2022-10-28,1.0,2023-01-22,30,Online Banking,0,0,346.76599999999996,866.915,0.4,382,343,429.0
12,41,F,Married,Low,87.1,87.1,1,2022-11-02,1,2.0,2022-11-29,1.0,2023-12-31,43,Website,0,0,87.1,87.1,2.0,424,0,397.0
13,24,F,Divorced,Low,392.02,130.67333333333332,3,2022-09-27,3,1.0,2022-07-27,0.0,2023-07-05,10,Mobile App,0,0,130.67333333333332,130.67333333333332,0.3333333333333333,460,179,522.0
14,42,M,Widowed,Medium,2843.59,315.95444444444445,9,2022-11-08,4,2.0,2022-07-29,1.0,2023-01-10,26,Online Banking,0,0,315.95444444444445,710.8975,0.2222222222222222,418,355,520.0
15,42,M,Divorced,Medium,1914.02,239.2525,8,2022-12-16,5,2.0,2022-10-18,2.0,2023-06-15,44,Online Banking,0,0,239.2525,382.804,0.25,380,199,439.0
16,30,F,Single,Medium,2019.79,224.42111111111112,9,2022-12-14,4,2.0,2022-09-08,0.0,2023-03-15,41,Online Banking,1,0,224.42111111111112,504.9475,0.2222222222222222,382,291,479.0
17,19,M,Married,Low,1625.27,232.18142857142857,7,2022-11-24,5,2.0,2022-05-11,1.0,2023-09-03,8,Online Banking,0,0,232.18142857142857,325.054,0.2857142857142857,402,119,599.0
18,56,F,Married,High,951.38,190.276,5,2022-08-30,3,1.0,2022-11-08,1.0,2023-11-24,37,Website,1,0,190.276,317.12666666666667,0.2,488,37,418.0
19,57,F,Divorced,High,1017.26,203.452,5,2022-12-22,3,2.0,2022-11-28,2.0,2023-03-08,39,Online Banking,0,0,203.452,339.08666666666664,0.4,374,298,398.0
20,41,M,Single,Low,2775.85,308.4277777777777,9,2022-12-17,5,1.0,2022-07-19,0.0,2023-08-15,16,Website,0,0,308.42777777777775,555.17,0.1111111111111111,379,138,530.0
21,64,M,Divorced,High,913.02,182.604,5,2022-08-02,2,0.0,,0.0,2023-06-16,18,Website,0,1,182.60399999999998,456.51,0.0,516,198,755.0
22,42,F,Divorced,Low,1582.73,263.78833333333336,6,2022-10-19,4,2.0,2022-08-06,0.0,2023-05-06,42,Mobile App,0,0,263.78833333333336,395.6825,0.3333333333333333,438,239,512.0
23,35,F,Divorced,Low,1490.74,372.685,4,2022-11-07,2,2.0,2022-03-18,1.0,2023-07-07,19,Mobile App,0,0,372.685,745.37,0.5,419,177,653.0
24,55,M,Widowed,Medium,1143.22,228.644,5,2022-12-12,4,1.0,2022-11-02,0.0,2023-10-04,12,Mobile App,0,0,228.644,285.805,0.2,384,88,424.0
25,43,F,Married,Low,764.77,254.9233333333333,3,2022-10-07,2,1.0,2022-12-06,0.0,2023-02-15,27,Mobile App,0,0,254.92333333333332,382.385,0.3333333333333333,450,319,390.0
26,31,M,Single,Medium,571.76,190.58666666666667,3,2022-12-28,3,1.0,2022-12-12,0.0,2023-09-29,45,Mobile App,1,0,190.58666666666667,190.58666666666667,0.3333333333333333,368,93,384.0
27,26,M,Widowed,Medium,2210.6,276.325,8,2022-11-10,5,1.0,2022-06-13,1.0,2023-10-01,22,Mobile App,0,0,276.325,442.12,0.125,416,91,566.0
28,27,F,Widowed,High,1702.26,283.71,6,2022-12-18,3,2.0,2022-12-01,2.0,2023-10-26,42,Online Banking,0,0,283.71,567.42,0.3333333333333333,378,66,395.0
29,38,F,Divorced,Medium,853.0699999999999,284.3566666666666,3,2022-09-24,2,2.0,2022-09-13,1.0,2023-09-02,34,Website,0,0,284.3566666666666,426.53499999999997,0.6666666666666666,463,120,474.0
30,69,M,Divorced,High,706.66,353.33,2,2022-09-17,2,2.0,2022-10-16,1.0,2023-07-12,38,Website,0,0,353.33,353.33,1.0,470,172,441.0
31,34,M,Divorced,Low,1108.56,221.712,5,2022-12-09,3,2.0,2022-06-18,0.0,2023-08-17,23,Online Banking,0,0,221.712,369.52,0.4,387,136,561.0
32,69,F,Married,High,1225.52,245.104,5,2022-10-04,4,0.0,,0.0,2023-01-06,48,Mobile App,0,1,245.10399999999998,306.38,0.0,453,359,755.0
33,23,M,Divorced,High,689.0,344.5,2,2022-11-07,2,1.0,2022-05-30,0.0,2023-05-19,24,Mobile App,1,0,344.5,344.5,0.5,419,226,580.0
34,33,M,Widowed,High,1886.4,209.6,9,2022-12-22,4,2.0,2022-07-02,1.0,2023-04-03,44,Online Banking,0,0,209.60000000000002,471.6,0.2222222222222222,374,272,547.0
35,65,M,Married,Low,779.8399999999999,259.94666666666666,3,2022-09-08,3,1.0,2022-07-07,1.0,2023-05-23,19,Mobile App,0,0,259.94666666666666,259.94666666666666,0.3333333333333333,479,222,542.0
36,18,F,Widowed,Low,1321.5500000000002,220.25833333333333,6,2022-10-27,4,1.0,2022-10-28,0.0,2023-02-11,6,Online Banking,0,0,220.25833333333335,330.38750000000005,0.16666666666666666,430,323,429.0
37,36,F,Married,Medium,3166.88,351.8755555555556,9,2022-12-07,4,1.0,2022-03-20,0.0,2023-08-28,3,Online Banking,0,0,351.8755555555556,791.72,0.1111111111111111,389,125,651.0
38,53,F,Married,Low,874.86,291.62,3,2022-12-05,2,1.0,2022-03-25,0.0,2023-11-27,47,Online Banking,0,0,291.62,437.43,0.3333333333333333,391,34,646.0
39,42,M,Married,Medium,1191.94,238.388,5,2022-12-11,3,0.0,,0.0,2023-01-20,26,Online Banking,0,1,238.388,397.31333333333333,0.0,385,345,755.0
40,67,F,Widowed,Low,1578.35,225.47857142857143,7,2022-08-02,3,1.0,2022-11-23,0.0,2023-10-14,20,Website,0,0,225.47857142857143,526.1166666666667,0.14285714285714285,516,78,403.0
41,69,F,Married,High,363.22,181.61,2,2022-02-15,2,1.0,2022-02-26,1.0,2023-07-04,38,Mobile App,1,0,181.61,181.61,0.5,684,180,673.0
42,47,M,Widowed,Medium,530.61,176.87,3,2022-10-21,2,0.0,,0.0,2023-07-17,10,Mobile App,0,1,176.87,265.305,0.0,436,167,755.0
43,37,M,Single,Low,2213.63,316.23285714285714,7,2022-11-02,4,2.0,2022-11-16,1.0,2023-05-25,25,Mobile App,0,0,316.23285714285714,553.4075,0.2857142857142857,424,220,410.0
44,37,F,Widowed,Low,687.8199999999999,229.2733333333333,3,2022-11-23,2,1.0,2022-04-18,1.0,2023-11-13,35,Mobile App,0,0,229.2733333333333,343.90999999999997,0.3333333333333333,403,48,622.0
45,32,F,Widowed,Low,300.42,300.42,1,2022-12-23,1,1.0,2022-06-25,1.0,2023-09-02,49,Online Banking,0,0,300.42,300.42,1.0,373,120,554.0
46,57,F,Married,High,134.67,134.67,1,2022-08-20,1,0.0,,0.0,2023-07-31,24,Online Banking,1,1,134.67,134.67,0.0,498,153,755.0
47,50,F,Married,Medium,1466.37,209.48142857142847,7,2022-11-19,5,0.0,,0.0,2023-04-19,21,Website,0,1,209.48142857142855,293.274,0.0,407,256,755.0
48,19,M,Divorced,Medium,1597.29,228.1842857142857,7,2022-12-09,5,0.0,,0.0,2023-06-12,34,Website,0,1,228.18428571428572,319.45799999999997,0.0,387,202,755.0
49,27,F,Single,Medium,641.48,213.82666666666668,3,2022-06-07,3,0.0,,0.0,2023-02-19,18,Online Banking,0,1,213.82666666666668,213.82666666666668,0.0,572,315,755.0
50,50,F,Single,Low,1514.62,378.655,4,2022-12-09,3,2.0,2022-11-03,2.0,2023-07-15,19,Online Banking,0,0,378.655,504.8733333333333,0.5,387,169,423.0
51,49,M,Divorced,Medium,549.86,183.28666666666663,3,2022-07-20,3,0.0,,0.0,2023-10-31,3,Mobile App,1,1,183.28666666666666,183.28666666666666,0.0,529,61,755.0
52,28,M,Widowed,Medium,401.25,401.25,1,2022-02-17,1,0.0,,0.0,2023-02-16,6,Mobile App,0,1,401.25,401.25,0.0,682,318,755.0
53,41,F,Widowed,Low,1255.34,179.3342857142857,7,2022-12-28,4,0.0,,0.0,2023-10-02,20,Mobile App,0,1,179.3342857142857,313.835,0.0,368,90,755.0
54,53,F,Married,Low,461.21,230.605,2,2022-07-04,2,2.0,2022-11-21,0.0,2023-01-20,22,Online Banking,0,0,230.605,230.605,1.0,545,345,405.0
55,29,F,Single,Low,1129.35,225.87,5,2022-09-06,3,0.0,,0.0,2023-08-18,33,Website,0,1,225.86999999999998,376.45,0.0,481,135,755.0
56,68,F,Married,Low,1443.46,288.692,5,2022-12-15,4,0.0,,0.0,2023-08-20,14,Mobile App,0,1,288.692,360.865,0.0,381,133,755.0
57,46,F,Divorced,High,597.75,199.25,3,2022-11-28,3,1.0,2022-12-07,1.0,2023-07-20,44,Online Banking,0,0,199.25,199.25,0.3333333333333333,398,164,389.0
58,52,M,Single,High,2215.82,369.3033333333333,6,2022-11-18,4,2.0,2022-07-17,2.0,2023-04-17,9,Online Banking,0,0,369.30333333333334,553.955,0.3333333333333333,408,258,532.0
59,18,M,Married,Medium,292.51,97.50333333333332,3,2022-12-01,2,0.0,,0.0,2023-12-11,45,Online Banking,0,1,97.50333333333333,146.255,0.0,395,20,755.0
60,18,F,Single,High,781.09,195.2725,4,2022-12-20,4,2.0,2022-06-08,1.0,2023-03-02,25,Mobile App,0,0,195.2725,195.2725,0.5,376,304,571.0
61,54,M,Single,Low,678.97,226.32333333333327,3,2022-10-11,2,1.0,2022-04-10,0.0,2023-12-27,47,Website,1,0,226.32333333333335,339.485,0.3333333333333333,446,4,630.0
62,23,F,Married,High,840.0,210.0,4,2022-11-26,4,2.0,2022-12-27,0.0,2023-08-27,16,Mobile App,0,0,210.0,210.0,0.5,400,126,369.0
63,56,M,Married,Low,2205.11,245.01222222222225,9,2022-12-13,5,0.0,,0.0,2023-05-26,7,Mobile App,0,1,245.01222222222225,441.02200000000005,0.0,383,219,755.0
64,58,F,Single,High,965.21,321.7366666666667,3,2022-12-18,3,0.0,,0.0,2023-06-03,11,Online Banking,0,1,321.7366666666667,321.7366666666667,0.0,378,211,755.0
65,35,F,Divorced,Low,1359.89,271.97799999999995,5,2022-11-17,3,0.0,,0.0,2023-09-25,27,Mobile App,0,1,271.978,453.2966666666667,0.0,409,97,755.0
66,33,M,Widowed,Medium,1409.11,176.13875,8,2022-12-21,4,0.0,,0.0,2023-08-17,40,Online Banking,0,1,176.13875,352.2775,0.0,375,136,755.0
67,22,F,Single,Medium,701.76,175.44,4,2022-11-09,2,2.0,2022-05-21,0.0,2023-07-23,17,Online Banking,0,0,175.44,350.88,0.5,417,161,589.0
68,59,F,Divorced,High,886.4799999999999,221.62,4,2022-11-06,4,2.0,2022-06-06,2.0,2023-07-25,5,Website,1,0,221.61999999999998,221.61999999999998,0.5,420,159,573.0
69,60,F,Single,Low,1038.53,259.6325,4,2022-12-04,3,1.0,2022-10-05,0.0,2023-11-13,29,Mobile App,0,0,259.6325,346.1766666666667,0.25,392,48,452.0
70,49,F,Married,Medium,2453.98,350.56857142857143,7,2022-12-13,4,0.0,,0.0,2023-03-15,10,Mobile App,0,1,350.56857142857143,613.495,0.0,383,291,755.0
71,19,F,Divorced,Low,474.59,158.1966666666667,3,2022-11-03,2,2.0,2022-04-13,1.0,2023-08-17,47,Online Banking,1,0,158.19666666666666,237.295,0.6666666666666666,423,136,627.0
72,19,F,Divorced,High,1080.4,180.0666666666667,6,2022-11-22,3,2.0,2022-01-08,1.0,2023-04-25,25,Online Banking,1,0,180.0666666666667,360.1333333333334,0.3333333333333333,404,250,722.0
73,57,M,Single,Low,2254.22,250.46888888888887,9,2022-11-16,3,1.0,2022-08-15,0.0,2023-10-27,24,Online Banking,1,0,250.46888888888887,751.4066666666666,0.1111111111111111,410,65,503.0
74,59,M,Widowed,Low,2083.79,260.47375,8,2022-08-27,5,1.0,2022-03-02,0.0,2023-02-19,44,Mobile App,0,0,260.47375,416.758,0.125,491,315,669.0
75,53,F,Single,High,769.97,192.4925,4,2022-12-31,4,1.0,2022-08-21,0.0,2023-06-17,12,Mobile App,1,0,192.4925,192.4925,0.25,365,197,497.0
76,56,F,Widowed,Medium,883.92,220.98,4,2022-12-07,2,2.0,2022-11-18,1.0,2023-05-09,5,Website,1,0,220.98,441.96,0.5,389,236,408.0
77,29,M,Divorced,High,1797.06,224.6325,8,2022-12-04,3,0.0,,0.0,2023-10-15,29,Online Banking,0,1,224.6325,599.02,0.0,392,77,755.0
78,64,M,Widowed,Low,816.89,272.2966666666667,3,2022-04-16,2,1.0,2022-11-23,1.0,2023-10-07,35,Mobile App,0,0,272.2966666666667,408.445,0.3333333333333333,624,85,403.0
79,36,M,Married,High,931.32,310.44,3,2022-12-14,2,1.0,2022-01-28,0.0,2023-04-20,23,Online Banking,1,0,310.44,465.66,0.3333333333333333,382,255,702.0
80,45,M,Widowed,High,110.82,110.82,1,2022-04-05,1,0.0,,0.0,2023-06-09,32,Mobile App,0,1,110.82,110.82,0.0,635,205,755.0
81,18,F,Widowed,Low,2181.77,272.72125,8,2022-08-31,4,0.0,,0.0,2023-12-03,40,Website,1,1,272.72125,545.4425,0.0,487,28,755.0
82,32,F,Divorced,High,232.38,232.38,1,2022-02-01,1,0.0,,0.0,2023-05-08,19,Mobile App,0,1,232.38,232.38,0.0,698,237,755.0
83,53,M,Widowed,Medium,1419.9199999999998,236.6533333333333,6,2022-10-15,4,2.0,2022-04-22,2.0,2023-12-31,25,Mobile App,0,0,236.6533333333333,354.97999999999996,0.3333333333333333,442,0,618.0
84,30,M,Divorced,Medium,1545.91,309.182,5,2022-12-15,4,0.0,,0.0,2023-11-30,45,Online Banking,0,1,309.182,386.4775,0.0,381,31,755.0
85,60,M,Married,High,1690.08,187.78666666666663,9,2022-12-06,4,0.0,,0.0,2023-08-08,37,Mobile App,0,1,187.78666666666666,422.52,0.0,390,145,755.0
86,38,M,Married,Low,1674.66,239.23714285714283,7,2022-12-02,3,0.0,,0.0,2023-10-18,1,Website,0,1,239.23714285714286,558.22,0.0,394,74,755.0
87,29,F,Single,High,1411.84,282.368,5,2022-12-26,4,2.0,2022-12-10,1.0,2023-11-22,43,Website,0,0,282.368,352.96,0.4,370,39,386.0
88,22,M,Single,High,447.34,223.67,2,2022-08-13,2,0.0,,0.0,2023-02-08,13,Online Banking,0,1,223.67,223.67,0.0,505,326,755.0
89,24,M,Single,Medium,1951.99,278.85571428571427,7,2022-10-12,4,0.0,,0.0,2023-09-06,12,Mobile App,0,1,278.85571428571427,487.9975,0.0,445,116,755.0
90,22,M,Married,Medium,1229.96,204.9933333333333,6,2022-12-30,4,1.0,2022-09-04,0.0,2023-05-30,47,Online Banking,0,0,204.99333333333334,307.49,0.16666666666666666,366,215,483.0
91,65,F,Widowed,Low,1804.74,200.52666666666667,9,2022-10-28,5,2.0,2022-05-24,1.0,2023-02-03,43,Mobile App,0,0,200.52666666666667,360.948,0.2222222222222222,429,331,586.0
92,21,F,Divorced,Low,2265.28,283.16,8,2022-12-09,5,2.0,2022-10-06,1.0,2023-07-01,37,Mobile App,0,0,283.16,453.05600000000004,0.25,387,183,451.0
93,30,F,Married,Low,848.07,169.614,5,2022-12-10,3,2.0,2022-10-07,0.0,2023-10-16,42,Mobile App,0,0,169.614,282.69,0.4,386,76,450.0
94,54,M,Widowed,High,1113.61,371.2033333333334,3,2022-12-29,2,0.0,,0.0,2023-06-27,41,Website,0,1,371.2033333333333,556.805,0.0,367,187,755.0
95,58,F,Single,High,677.27,225.75666666666663,3,2022-11-07,3,1.0,2022-07-30,0.0,2023-06-20,12,Online Banking,0,0,225.75666666666666,225.75666666666666,0.3333333333333333,419,194,519.0
96,32,F,Divorced,High,161.84,161.84,1,2022-08-24,1,2.0,2022-02-20,2.0,2023-02-27,36,Mobile App,0,0,161.84,161.84,2.0,494,307,679.0
97,33,M,Single,High,553.65,276.825,2,2022-09-11,1,2.0,2022-08-11,0.0,2023-12-20,38,Website,0,0,276.825,553.65,1.0,476,11,507.0
98,38,F,Divorced,Low,893.76,178.752,5,2022-11-11,4,1.0,2022-11-28,0.0,2023-05-23,9,Mobile App,0,0,178.752,223.44,0.2,415,222,398.0
99,53,M,Widowed,Low,889.75,177.95,5,2022-11-09,4,0.0,,0.0,2023-02-10,14,Online Banking,0,1,177.95,222.4375,0.0,417,324,755.0
100,41,F,Married,Low,1108.56,277.14,4,2022-12-27,2,2.0,2022-12-01,0.0,2023-06-02,45,Online Banking,1,0,277.14,554.28,0.5,369,212,395.0
